COUNTRYCOD,ADMINLEVEL,BNDCODE,BNDSOURCE,STATCODE,STATSOURCE
KEN,1,AFB01,Http://www.fao.org/geonetwork/: FAO-GIEWS: Sub-national boundaries of Africa (1999).,AFS095,GIEWS 1991
KEN,2,AFB01,Http://www.fao.org/geonetwork/: FAO-GIEWS: Sub-national boundaries of Africa (1999).,AFS022,"Central Bureau of Statistics; Office of the Vice President and Ministry of Planning and National Development  ""Statistical Abstract 1996""  Kenya: Central Bureau of Statistics  1996"
