NAME2_,Mean temp,rainfall,pH,crop_name,Rainfall_Min_mm,Rainfall_Max_mm,pH_Min,pH_Max,Soil_Type,suitable
E. MARAKWET,19.9625,3.1065384615384612,0.49192307692307696,Green grams,350.0,600.0,6.0,7.5,Sandy-Loam,0
E. MARAKWET,19.9625,3.1065384615384612,0.49192307692307696,Wheat,500.0,900.0,6.0,7.0,Loam-Clay,0
E. MARAKWET,19.9625,3.1065384615384612,0.49192307692307696,Sugarcane,1500.0,2500.0,5.0,6.5,Loam-Clay,0
E. MARAKWET,19.9625,3.1065384615384612,0.49192307692307696,Tea,1200.0,1400.0,4.5,5.5,Well-drained Loamy,0
E. MARAKWET,19.9625,3.1065384615384612,0.49192307692307696,Coffee,1000.0,2000.0,5.0,6.0,Volcanic Loam,0
E. MARAKWET,19.9625,3.1065384615384612,0.49192307692307696,Banana,1000.0,2500.0,5.5,7.0,Loam,0
E. MARAKWET,19.9625,3.1065384615384612,0.49192307692307696,Tomato,600.0,800.0,6.0,6.8,Loamy,0
E. MARAKWET,19.9625,3.1065384615384612,0.49192307692307696,Onion,500.0,700.0,6.0,6.8,Sandy-Loam,0
E. MARAKWET,19.9625,3.1065384615384612,0.49192307692307696,Cabbage,600.0,1200.0,6.0,6.5,Loam,0
E. MARAKWET,19.9625,3.1065384615384612,0.49192307692307696,Spinach,700.0,1000.0,6.0,7.0,Loam,0
EMBU,20.451153846153847,2.7526923076923078,0.5326923076923077,Maize,600.0,1200.0,5.5,7.0,Loamy,0
EMBU,20.451153846153847,2.7526923076923078,0.5326923076923077,Beans,500.0,1000.0,6.0,6.8,Sandy-Loam,0
EMBU,20.451153846153847,2.7526923076923078,0.5326923076923077,Millet,300.0,800.0,5.0,6.5,Sandy,0
EMBU,20.451153846153847,2.7526923076923078,0.5326923076923077,Sorghum,400.0,800.0,5.5,8.0,Sandy-Loam,0
EMBU,20.451153846153847,2.7526923076923078,0.5326923076923077,Rice,1200.0,2000.0,5.0,6.5,Clayey,1
EMBU,20.451153846153847,2.7526923076923078,0.5326923076923077,Cassava,500.0,1000.0,5.5,7.5,Sandy-Loam,0
EMBU,20.451153846153847,2.7526923076923078,0.5326923076923077,Sweet Potato,750.0,1250.0,5.5,6.5,Loamy,0
EMBU,20.451153846153847,2.7526923076923078,0.5326923076923077,Groundnuts,500.0,1000.0,5.3,6.5,Sandy,0
EMBU,20.451153846153847,2.7526923076923078,0.5326923076923077,Green grams,350.0,600.0,6.0,7.5,Sandy-Loam,0
EMBU,20.451153846153847,2.7526923076923078,0.5326923076923077,Wheat,500.0,900.0,6.0,7.0,Loam-Clay,0
EMBU,20.451153846153847,2.7526923076923078,0.5326923076923077,Sugarcane,1500.0,2500.0,5.0,6.5,Loam-Clay,0
EMBU,20.451153846153847,2.7526923076923078,0.5326923076923077,Tea,1200.0,1400.0,4.5,5.5,Well-drained Loamy,0
